Number words female,Total words,Number of words lead,Difference in words lead and co-lead,Number of male actors,Year,Number of female actors,Number words male,Gross,Mean Age Male,Mean Age Female,Age Lead,Age Co-Lead,Lead
1512,6394,2251,343,2,1995,5,2631,142,51.5,42.33333333,46,65,Female
1524,8780,2020,1219,9,2001,4,5236,37,39.125,29.33333333,58,34,Male
155,4176,942,787,7,1968,1,3079,376,42.5,37,46,37,Male
1073,9855,3440,2623,12,2002,2,5342,19,35.22222222,21.5,33,23,Male
1317,7688,3835,3149,8,1988,4,2536,40,45.25,45,36,39,Male
1492,5872,1491,994,11,1997,4,2889,327,45.90909091,36.5,55,41,Male
1500,5322,1191,287,6,1980,3,2631,269,47,24.5,61,25,Male
349,6098,2692,2472,9,1988,2,3057,53,43,31,48,31,Male
857,8851,4042,3476,13,2001,2,3952,89,47.41666667,28.5,33,27,Male
2619,9626,1604,869,9,1973,6,5403,565,26.5,22,20,26,Male
759,12705,4922,4163,12,2002,1,7024,48,50.55555556,39,54,39,Male
4001,12995,7661,3942,5,1977,3,1333,152,41.6,39.33333333,42,31,Male
1141,9925,3484,2920,6,1997,3,5300,1,50.6,36.5,62,32,Male
1544,5323,2298,1306,5,1997,4,1481,102,41.8,39.5,34,32,Male
0,2081,940,508,4,1999,1,1141,351,48,29,29,57,Female
2417,11729,4998,4273,8,1990,6,4314,107,42,57.2,39,85,Male
832,4498,719,200,11,1984,3,2947,99,38.85714286,36.66666667,30,23,Male
3133,11252,3955,1965,7,1995,5,4164,131,32.28571429,34,30,29,Male
846,3918,2616,1770,4,1992,1,456,4,55,28,53,28,Male
1729,11361,4179,2930,9,2000,3,5453,3,36.71428571,39.33333333,40,29,Male
2680,7344,2372,521,6,1992,2,2292,247,41.5,31.5,48,34,Male
1188,7018,3113,2036,5,1992,2,2717,341,52,31,48,34,Male
0,2856,1136,343,4,1989,1,1720,550,53,36,36,38,Female
1605,10592,6394,5475,7,2000,2,2593,64,29.57142857,32,26,40,Male
519,3142,1203,896,4,1996,2,1420,124,50.66666667,34,34,34,Male
2492,12199,3545,2439,16,1994,5,6162,3,43.16666667,43,43,40,Male
